,Type,Name,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,VideoAmt,Description,PhotoAmt,AdoptionSpeed
49,2,0,60,264,0,1,1,2,7,3,3,1,1,1,1,1,0,0,472,3,2
50,1,0,1,307,141,2,1,0,0,2,2,2,1,1,1,2,0,0,302,13,3
51,2,0,6,266,0,1,1,2,7,2,1,1,1,1,1,1,100,0,89,1,4
52,1,0,2,307,0,1,2,7,0,2,1,1,1,2,1,1,0,0,288,3,3
53,1,0,12,307,307,2,2,0,0,2,2,1,1,1,1,2,0,0,1022,5,4
54,1,0,3,307,0,2,2,7,0,1,1,3,3,3,2,1,0,0,254,0,3
55,2,0,3,265,0,3,4,6,7,1,2,1,1,2,1,2,0,0,359,15,2
56,2,0,5,266,0,1,1,7,0,2,1,2,1,2,1,1,30,0,627,4,4
57,1,0,24,307,0,2,5,0,0,2,2,1,1,1,1,1,0,0,138,2,2
58,1,0,4,307,0,1,5,0,0,3,2,2,2,2,1,1,0,0,116,3,1
59,2,0,2,243,0,3,1,6,7,1,1,3,3,3,1,6,0,0,82,1,4
60,2,0,1,266,0,2,4,0,0,2,1,2,2,2,1,1,0,0,264,5,1
61,1,0,9,307,0,1,2,5,0,2,1,1,1,3,1,1,0,0,358,2,4
62,1,0,60,307,0,2,2,5,0,2,1,2,2,1,1,1,0,0,460,2,4
63,1,0,2,307,0,1,1,2,0,2,2,2,2,2,1,1,0,0,155,5,2
64,1,0,2,213,307,3,1,3,7,2,3,1,1,2,1,7,0,0,740,21,3
65,1,0,48,205,0,2,2,5,0,2,2,1,1,2,1,1,0,0,29,5,1
66,2,0,3,266,0,2,2,0,0,2,1,2,2,2,1,1,0,0,35,1,4
67,2,0,4,266,0,1,1,3,0,1,1,2,1,2,1,2,0,0,367,1,2
68,2,0,9,266,0,2,2,7,0,2,1,2,2,2,1,1,0,0,325,1,2
69,1,0,62,307,0,1,1,3,6,2,2,1,1,1,1,1,0,0,156,3,4
70,1,0,36,307,0,2,1,2,0,2,1,1,1,1,1,5,0,0,277,1,4
71,1,0,1,307,307,2,1,2,0,2,2,2,1,2,1,1,0,0,14,1,3
72,1,0,2,141,128,1,1,2,7,1,1,1,3,2,1,1,0,0,228,5,1
73,1,0,2,307,0,1,1,2,0,1,1,1,1,2,1,1,0,0,204,3,4
74,1,0,1,173,96,3,1,2,7,2,2,2,2,2,1,9,100,0,1869,5,2
75,1,0,2,307,0,2,2,5,0,2,1,2,1,2,1,1,0,0,148,1,0
76,1,0,2,307,0,2,1,0,0,3,1,1,1,2,1,2,0,1,770,3,4
77,1,0,12,307,0,2,2,0,0,2,1,1,1,1,1,1,0,0,122,3,3
78,1,0,2,307,307,1,2,0,0,2,2,1,1,2,1,1,0,0,12,5,1
79,1,0,1,307,0,2,2,7,0,2,1,1,1,2,1,1,0,0,221,1,3
80,1,0,2,307,0,2,1,2,0,2,1,1,2,2,1,1,0,0,218,1,4
81,1,0,3,207,0,1,1,2,0,1,3,1,1,3,1,1,750,0,246,2,1
82,1,0,3,307,0,1,1,7,0,2,2,2,1,2,1,1,0,0,234,1,2
83,1,0,3,307,141,1,5,0,0,2,2,3,3,2,1,1,0,0,93,3,3
84,2,0,6,265,0,2,5,7,0,2,2,2,1,2,1,1,50,0,126,4,3
85,1,0,1,307,0,2,1,2,0,2,2,2,2,2,1,2,0,0,118,3,2
86,2,0,47,250,285,2,1,2,0,2,3,2,2,2,1,1,0,0,137,2,4
87,1,0,2,189,307,1,1,2,0,3,2,3,3,3,1,1,0,0,303,4,2
88,1,0,12,307,0,2,5,0,0,2,2,1,1,1,1,1,0,3,1584,11,3
89,1,0,2,307,76,1,1,7,0,2,1,1,1,2,1,1,0,4,1308,18,3
90,1,0,1,307,0,1,2,0,0,2,1,2,2,2,1,1,0,0,643,5,3
91,2,0,1,266,266,3,2,3,7,1,2,2,2,2,1,2,0,0,994,3,4
92,1,0,1,307,307,3,2,7,0,2,1,2,2,2,1,5,0,0,165,0,4
93,2,0,24,266,0,1,4,0,0,3,1,2,2,2,2,1,0,0,540,12,3
94,2,0,24,266,0,2,2,4,0,2,1,2,2,1,1,1,0,0,27,1,4
95,1,0,2,307,0,1,1,2,0,2,1,2,2,2,1,1,0,0,220,2,3
96,2,0,19,285,0,2,1,6,0,3,3,1,1,2,1,1,0,0,3,3,1
97,1,0,4,207,169,2,2,0,0,1,3,3,1,1,1,1,0,0,193,3,3
98,1,0,24,307,0,1,2,7,0,2,1,2,2,2,1,1,0,0,87,3,3
99,2,0,3,265,0,1,1,7,0,2,2,3,3,2,1,1,0,0,18,1,1
100,2,0,1,264,0,3,5,6,0,1,2,2,2,2,1,2,0,0,210,1,2
101,1,0,24,119,307,2,1,6,7,2,2,3,3,1,1,1,0,0,448,2,2
102,1,0,60,195,0,1,6,0,0,2,2,1,1,1,1,1,0,0,242,3,4
103,1,0,1,307,307,2,1,2,7,2,2,1,1,2,1,1,0,0,12,1,3
104,2,0,3,266,0,2,2,3,0,1,1,1,1,2,1,1,0,0,625,7,1
105,2,0,2,265,0,1,3,0,0,1,2,2,2,2,1,1,0,0,33,2,2
106,2,0,1,266,266,3,1,7,0,2,1,1,1,2,1,2,1,0,309,3,0
107,1,0,2,307,0,2,1,2,0,2,1,2,2,2,1,1,0,0,120,2,3
108,2,0,2,266,0,2,6,7,0,2,1,2,1,2,1,1,0,0,140,2,1
109,1,0,3,307,0,2,2,0,0,2,1,1,1,2,1,1,0,0,165,4,4
110,1,0,2,307,307,2,1,4,7,3,1,2,2,2,1,6,0,0,559,5,3
111,2,0,12,299,0,2,3,6,7,2,2,1,2,1,1,2,0,0,43,1,4
112,2,0,4,266,306,2,1,7,0,2,1,1,1,2,1,1,0,0,1856,5,2
113,1,0,120,307,0,1,1,2,7,3,1,3,3,3,1,1,0,0,884,3,4
114,1,0,3,307,0,2,2,0,0,2,1,2,2,2,1,1,0,0,188,4,4
115,2,0,1,265,0,3,2,5,7,1,2,2,2,2,1,4,0,0,432,2,4
116,1,0,36,109,0,2,2,3,4,3,2,1,1,2,1,1,0,0,703,4,1
117,2,0,3,266,0,2,1,2,7,1,1,2,1,2,1,1,0,0,70,3,4
118,2,0,60,285,0,1,3,0,0,2,2,1,1,2,1,1,0,0,104,0,4
119,2,0,1,266,0,2,2,5,7,2,1,2,1,3,1,1,0,0,321,4,1
120,1,0,3,307,0,3,1,2,7,2,2,1,1,2,1,3,150,0,318,3,1
121,1,0,36,189,0,1,1,5,0,3,1,1,1,1,1,1,0,0,1482,4,2
122,1,0,12,206,0,1,1,6,7,2,2,1,2,2,1,1,400,0,1146,1,2
123,2,0,1,266,0,3,1,6,7,1,1,2,3,2,1,4,0,0,286,3,3
124,1,0,0,307,307,3,1,2,3,3,1,3,3,3,1,2,0,0,565,4,1
125,2,0,1,265,0,1,1,7,0,1,2,2,2,2,1,1,0,1,171,1,2
126,1,0,5,70,18,1,5,7,0,2,1,1,1,1,1,1,0,0,92,6,3
127,1,0,24,103,307,2,1,2,0,2,2,3,3,3,1,1,0,0,464,3,3
128,1,0,3,307,0,1,2,0,0,2,2,1,1,2,1,1,0,0,255,3,1
129,1,0,3,307,0,2,2,0,0,1,1,3,3,3,1,3,0,0,39,1,4
130,1,0,4,307,0,2,1,0,0,2,1,2,1,2,1,1,0,0,678,5,4
131,2,0,3,266,0,3,1,7,0,2,2,3,3,3,1,2,0,0,199,3,1
132,2,0,1,265,0,2,1,7,0,1,2,2,2,2,1,5,0,0,151,3,2
133,2,0,8,292,266,1,2,5,0,2,1,1,1,2,1,1,50,0,215,8,2
134,2,0,2,303,266,3,1,2,0,2,1,2,2,2,1,2,0,0,102,2,4
135,1,0,32,307,307,3,1,4,5,2,1,1,1,1,1,2,0,0,1063,5,4
136,1,0,3,78,307,3,1,2,0,3,1,1,1,2,1,3,0,0,223,4,2
137,2,0,12,265,0,1,1,0,0,2,2,2,2,2,1,1,0,0,384,1,3
138,1,0,4,307,36,2,1,2,7,2,2,1,1,1,1,1,0,0,286,10,3
139,1,0,2,307,0,1,1,2,0,2,1,2,3,2,1,1,0,0,146,3,2
140,2,0,7,254,303,2,1,4,7,2,1,1,1,2,1,1,0,0,16,7,2
141,2,0,5,264,0,1,4,0,0,2,3,2,1,2,1,1,100,0,1118,5,3
142,2,0,2,265,0,2,6,7,0,2,2,1,1,2,1,2,0,0,1109,4,2
143,1,0,60,10,0,2,1,7,0,2,1,1,1,1,1,1,0,0,108,2,3
144,2,0,4,265,247,3,1,3,7,2,2,2,2,2,1,5,0,0,956,5,2
145,1,0,120,20,195,1,2,0,0,2,1,1,1,2,1,2,0,0,71,1,1
146,1,0,12,307,0,2,2,0,0,2,1,1,1,1,1,1,0,0,507,2,2
147,2,0,17,266,0,2,1,2,7,1,1,3,3,1,1,1,0,0,430,3,3
148,2,0,2,266,0,3,4,5,7,2,1,2,2,2,1,2,0,0,275,2,2
149,1,0,48,307,307,1,1,2,0,2,2,1,1,1,1,1,0,0,94,2,2
150,1,0,4,307,0,2,1,7,0,2,1,1,2,2,1,1,0,0,70,2,3
151,2,0,12,305,0,2,3,5,0,2,2,3,1,1,1,1,0,0,330,2,3
152,2,0,12,285,292,1,1,7,0,3,3,2,1,2,1,1,0,0,153,2,1
153,2,0,3,266,0,2,6,7,0,2,1,1,1,2,1,1,0,1,426,3,2
154,1,0,1,307,0,3,1,2,3,2,2,2,2,2,1,3,0,0,202,11,4
155,1,0,36,78,0,2,1,2,0,3,2,3,3,3,2,1,0,0,284,4,3
156,1,0,12,307,0,2,5,7,0,2,1,3,3,3,1,1,0,1,521,1,4
157,1,0,2,307,0,2,1,2,0,2,2,1,1,2,1,1,80,0,255,1,4
158,1,0,36,78,0,1,1,0,0,2,1,1,1,1,1,1,0,0,353,1,2
159,2,0,1,265,0,3,1,6,7,2,2,2,2,2,1,3,0,0,2140,13,2
160,2,0,1,283,0,2,4,7,0,1,1,2,2,2,1,1,0,0,393,3,1
161,1,0,0,307,0,2,1,7,0,2,2,3,3,3,1,5,0,0,149,5,1
162,1,0,2,307,0,2,2,0,0,2,1,1,1,2,1,1,0,0,352,4,1
163,1,0,2,307,0,3,1,4,7,2,1,1,1,2,1,3,30,0,422,3,3
164,1,0,2,307,307,3,2,0,0,2,2,2,2,2,1,3,0,0,149,5,4
165,2,0,36,306,0,3,1,3,6,2,2,1,1,1,1,5,0,0,659,0,4
166,1,0,3,307,0,3,2,4,5,2,1,3,3,3,1,5,0,0,256,1,4
167,1,0,2,307,0,2,1,2,0,2,2,1,1,2,1,1,0,0,207,4,3
168,1,0,1,307,0,2,2,5,7,3,1,3,1,3,1,1,0,0,506,2,2
169,2,0,2,266,0,2,1,5,0,2,1,2,1,2,1,1,0,0,58,3,2
170,2,0,2,292,252,1,2,5,0,1,1,2,2,2,1,1,0,0,239,1,0
171,1,0,2,307,0,2,1,2,0,2,1,1,1,2,1,1,80,0,208,9,2
172,2,0,3,266,0,1,4,0,0,2,1,3,1,2,1,1,0,0,354,3,4
173,1,0,17,307,0,1,1,0,0,2,2,1,1,1,1,1,150,0,703,1,4
174,1,0,2,307,0,3,1,2,7,2,1,3,3,3,1,8,0,0,169,5,3
175,2,0,48,299,0,1,1,2,7,3,1,1,1,2,1,1,20,0,707,4,2
176,2,0,1,266,0,1,1,2,0,2,1,2,2,2,1,1,0,0,251,1,2
177,2,0,5,266,264,2,1,7,0,2,2,2,2,2,1,1,150,0,318,4,2
178,1,0,8,307,141,1,1,2,0,2,1,3,3,1,1,1,0,0,322,3,2
179,1,0,4,307,307,2,7,0,0,1,1,1,1,1,1,1,0,0,609,2,4
180,1,0,3,307,0,1,1,7,0,2,1,1,1,2,1,1,0,0,91,3,3
181,2,0,72,266,0,1,1,7,0,2,1,1,1,1,1,1,0,0,1687,10,4
182,2,0,12,266,254,2,1,4,7,2,1,3,3,3,1,5,0,0,24,4,4
183,1,0,12,307,0,2,1,2,0,2,2,2,1,2,1,1,0,0,133,2,4
184,2,0,12,266,266,1,3,7,0,2,1,1,1,1,1,2,0,0,160,2,4
185,1,0,22,20,0,1,2,5,7,2,1,1,1,2,1,1,0,0,77,0,3
186,1,0,36,307,0,1,3,0,0,2,2,3,3,2,1,1,0,0,1439,3,4
187,1,0,2,307,0,1,5,0,0,2,2,3,3,2,1,1,0,0,88,1,3
188,2,0,4,299,0,2,1,2,0,2,1,3,3,1,1,5,0,0,130,1,4
189,1,0,12,307,0,2,7,0,0,2,2,1,1,2,1,1,0,0,474,5,2
190,1,0,7,307,0,1,1,7,0,1,1,2,2,2,1,1,50,1,367,1,4
191,1,0,2,307,0,1,1,2,0,2,1,2,2,2,1,1,0,0,26,4,1
192,1,0,3,307,0,2,2,7,0,1,1,2,1,3,1,3,0,0,314,2,4
193,1,0,24,307,0,2,2,7,0,2,1,1,1,1,1,1,0,0,490,24,4
194,1,0,1,307,0,2,2,0,0,2,3,2,2,2,1,1,0,0,163,3,1
195,1,0,1,307,0,2,2,0,0,2,1,2,2,2,1,1,0,0,82,1,2
196,1,0,3,307,0,1,3,0,0,3,1,1,1,2,1,2,0,0,704,9,2
197,2,0,5,266,0,1,1,7,0,1,1,1,2,3,1,1,0,0,649,4,4
198,1,0,16,205,147,2,5,7,0,1,1,1,1,3,1,1,0,0,248,3,1
199,2,0,2,266,0,1,3,5,7,2,1,1,1,2,1,1,0,0,907,5,2
200,2,0,2,265,0,1,5,0,0,1,2,3,3,3,1,1,0,0,271,6,4
201,1,0,7,205,178,1,2,0,0,2,1,1,1,3,1,1,0,0,165,8,1
202,2,0,13,266,0,2,2,3,0,2,1,2,1,2,1,1,0,0,589,5,4
203,1,0,3,307,0,1,1,7,0,2,1,1,1,1,1,1,0,0,316,3,3
204,1,0,12,307,0,1,1,2,0,2,1,1,1,2,1,1,0,0,8,1,4
205,2,0,3,266,0,1,1,7,0,1,1,1,1,2,1,1,0,0,1314,9,2
206,1,0,2,307,307,2,1,2,0,2,2,2,2,2,1,1,0,0,249,1,4
207,2,0,10,266,0,2,4,0,0,2,1,1,1,1,1,1,0,0,296,8,3
208,1,0,2,307,0,2,4,5,7,2,1,2,1,2,1,1,0,0,777,5,1
209,1,0,2,307,0,1,1,2,5,2,1,2,2,2,1,1,0,0,517,2,3
210,2,0,4,266,0,2,1,2,6,3,1,2,2,2,1,1,0,0,11,8,1
211,1,0,60,109,307,1,2,4,7,2,2,1,1,1,1,1,0,0,1027,5,3
212,2,0,2,266,0,2,1,4,7,2,1,2,2,2,1,6,30,0,712,6,4
213,2,0,12,266,0,2,2,3,5,2,1,1,1,1,1,1,0,0,627,2,4
214,2,0,2,266,254,2,1,4,7,1,1,2,2,2,1,1,0,0,653,5,1
215,2,0,0,292,299,3,2,5,0,2,1,2,2,2,2,3,0,0,112,1,1
216,1,0,2,307,141,3,5,7,0,3,1,1,1,2,1,3,0,1,322,8,3
217,2,0,6,266,0,2,3,7,0,2,1,2,1,1,1,1,0,0,8,5,4
218,1,0,3,307,0,2,1,2,0,3,1,3,3,2,1,1,0,0,119,2,2
219,1,0,1,307,0,2,1,0,0,2,2,2,1,2,1,1,0,0,400,4,1
220,1,0,2,307,0,2,1,2,7,1,1,2,2,2,1,4,0,0,683,5,1
221,2,0,3,265,0,1,4,7,0,2,2,2,2,2,1,1,50,0,154,3,1
222,1,0,19,307,0,2,1,0,0,2,1,1,1,1,1,1,80,0,568,3,4
223,2,0,11,266,0,2,1,4,7,2,1,1,1,1,1,1,50,0,204,5,4
224,1,0,37,307,0,2,2,3,7,2,1,1,1,1,1,1,0,0,552,5,4
225,2,0,4,288,285,2,1,7,0,1,3,2,2,3,1,1,250,0,195,3,2
226,1,0,3,307,141,1,5,0,0,2,1,2,1,1,1,1,0,0,62,6,1
227,1,0,6,307,0,1,1,2,5,2,1,1,1,1,1,1,0,0,503,1,3
228,2,0,1,266,0,2,3,5,0,2,1,2,2,2,1,1,0,0,276,7,2
229,1,0,5,307,0,1,1,2,0,2,1,3,3,3,1,1,0,0,10,0,4
230,1,0,1,307,0,3,1,0,0,2,1,2,2,2,1,6,0,0,871,5,3
231,2,0,7,266,0,1,1,7,0,2,1,2,1,2,1,1,0,0,181,2,2
232,1,0,4,307,0,2,1,2,0,2,2,2,1,2,1,1,1,0,132,1,4
233,2,0,1,266,0,2,1,2,5,2,1,2,2,2,1,1,0,0,448,0,4
234,1,0,48,307,0,2,2,0,0,2,1,1,1,1,1,1,0,0,200,1,3
235,1,0,3,69,4,2,2,0,0,1,1,2,2,2,1,1,0,0,37,3,1
236,1,0,2,307,0,1,1,2,7,2,2,1,1,2,1,1,0,0,17,1,1
237,2,0,4,266,0,1,4,7,0,1,1,1,1,3,1,1,0,0,103,5,1
238,1,0,22,205,0,2,5,7,0,2,1,1,1,2,1,1,0,0,460,3,1
239,1,0,60,179,179,2,2,0,0,1,3,1,1,1,1,1,0,0,12,3,1
240,1,0,1,218,205,3,1,5,7,2,2,2,2,2,1,4,0,0,207,2,1
241,1,0,3,31,307,1,1,0,0,2,1,3,3,2,1,1,0,0,79,2,2
242,2,0,3,266,265,2,1,4,7,2,1,2,1,2,1,4,0,0,644,5,2
243,2,0,4,265,0,2,5,0,0,2,2,3,3,3,1,1,0,1,198,4,2
244,2,0,13,285,265,2,1,6,0,2,2,1,1,2,1,1,0,0,570,3,1
245,2,0,1,266,0,1,1,7,0,1,1,3,3,3,1,1,0,0,74,1,3
246,1,0,5,141,0,2,1,0,0,2,2,1,1,2,1,1,0,0,256,8,1
247,1,0,2,307,0,2,1,7,0,2,2,2,1,2,1,1,0,0,288,12,3
248,2,0,1,266,0,3,1,7,0,2,2,2,2,2,1,3,0,0,125,4,1
249,1,0,2,128,307,2,2,7,0,2,1,1,1,2,1,1,0,1,335,9,2
250,1,0,36,307,0,2,2,0,0,2,1,1,1,1,1,1,0,0,35,1,3
251,1,0,2,307,0,2,1,2,0,2,1,1,1,2,1,1,0,1,208,4,4
252,1,0,2,307,307,2,1,2,0,2,2,2,1,2,1,1,0,0,12,4,2
253,2,0,2,266,0,2,1,7,0,2,1,2,1,2,1,1,0,0,286,3,1
254,2,0,8,299,0,1,3,0,0,2,1,1,1,1,1,1,0,0,99,2,2
255,2,0,2,265,0,2,1,6,7,2,2,1,1,2,1,1,0,0,43,4,3
256,2,0,9,299,0,2,2,5,6,1,1,1,1,1,1,1,0,0,869,3,2
257,2,0,6,266,299,2,6,0,0,2,1,3,3,3,1,1,0,0,336,4,2
258,1,0,2,307,0,2,1,2,0,2,1,2,2,2,1,3,0,0,305,3,2
259,1,0,18,20,307,2,2,7,0,2,1,1,1,1,1,1,0,0,22,10,0
260,1,0,14,307,0,1,2,0,0,3,2,1,1,1,1,1,0,0,24,3,0
261,2,0,3,266,0,1,1,7,0,1,1,2,2,2,1,2,0,0,345,9,3
262,2,0,2,266,0,1,7,0,0,2,1,2,1,2,1,1,0,0,133,2,1
263,1,0,1,307,307,3,1,2,7,3,1,2,1,2,1,20,50,0,184,5,4
264,2,0,12,247,0,1,1,6,7,2,2,1,1,1,1,1,0,0,96,1,4
265,2,0,12,266,300,2,1,2,0,2,1,2,3,1,1,1,0,0,40,1,4
266,1,0,1,70,307,2,1,5,0,2,1,2,2,2,1,1,0,0,549,5,1
267,2,0,9,266,0,1,1,6,7,2,1,1,1,1,1,2,0,0,794,0,4
268,1,0,2,307,0,2,1,2,7,2,2,1,1,2,1,1,0,0,65,2,3
269,2,0,2,265,265,3,6,7,0,1,2,2,2,2,1,4,0,0,511,7,2
270,2,0,2,266,0,2,2,4,5,2,1,2,2,2,1,3,0,0,20,4,1
271,1,0,3,307,0,2,2,0,0,2,1,3,3,3,1,1,0,0,72,2,1
272,1,0,3,307,119,1,5,7,0,2,2,2,2,2,1,1,0,0,468,4,1
273,2,0,6,266,0,2,4,0,0,1,1,1,1,1,1,1,200,0,2000,6,4
274,2,0,3,292,0,1,1,7,0,1,1,2,2,2,1,1,0,0,84,1,2
275,1,0,24,307,307,3,1,2,0,2,1,2,2,1,1,2,0,0,876,2,2
276,1,0,3,307,307,1,2,0,0,3,1,2,2,3,1,1,0,0,129,3,2
277,1,0,24,307,307,2,2,0,0,2,1,1,1,1,2,1,20,0,148,2,4
278,1,0,1,307,0,1,2,7,0,2,2,2,2,2,1,1,0,0,106,1,1
279,1,0,2,307,103,2,1,2,0,2,2,2,1,2,1,1,250,0,157,13,3
280,1,0,2,307,0,1,3,0,0,2,2,1,1,2,1,1,0,0,295,1,2
281,1,0,7,307,0,2,2,0,0,2,1,1,1,2,1,1,0,0,425,1,3
282,2,0,3,264,0,1,1,3,0,1,3,2,2,2,1,1,150,0,164,3,1
283,1,0,1,307,0,2,2,0,0,2,1,2,2,2,1,1,0,0,205,2,3
284,1,0,1,307,0,2,1,2,0,2,1,1,1,2,1,1,0,0,136,9,2
285,1,0,55,20,0,1,1,4,7,2,1,1,1,1,1,1,0,0,490,5,2
286,1,0,2,200,307,2,1,2,0,2,1,1,1,2,1,1,0,0,1537,3,2
287,1,0,3,307,0,2,1,2,0,2,2,1,1,1,1,1,0,0,519,3,3
288,1,0,36,213,0,2,3,5,0,2,2,3,3,1,1,1,0,0,443,9,3
289,2,0,1,265,0,2,1,4,7,2,3,2,1,2,1,1,0,2,971,10,2
290,2,0,6,292,0,2,2,5,0,2,2,2,2,2,1,1,0,0,254,3,4
291,2,0,6,265,266,2,2,5,0,2,2,2,2,2,1,1,0,0,207,3,1
292,2,0,4,247,266,1,2,0,0,2,2,2,2,2,2,1,0,0,286,4,1
293,1,0,2,307,218,2,2,7,0,2,2,1,1,2,1,1,0,0,397,3,1
294,1,0,5,307,0,2,1,2,7,2,1,1,1,2,1,1,0,0,144,1,2
295,2,0,20,265,0,1,1,6,7,3,2,2,1,2,1,1,0,0,281,4,1
296,1,0,2,307,0,2,2,7,0,2,1,1,1,2,1,1,0,0,140,6,3
297,1,0,7,307,0,1,2,7,0,2,2,1,3,3,1,1,0,0,30,1,1
298,2,0,1,266,0,1,1,7,0,2,1,2,1,2,1,1,0,0,816,6,1
299,1,0,2,307,0,2,1,2,0,2,2,1,1,2,1,2,0,0,1144,5,4
300,1,0,1,307,307,2,1,0,0,2,1,2,2,2,1,1,0,0,110,1,3
301,2,0,28,248,264,1,1,0,0,3,3,1,1,2,1,1,0,0,90,5,2
302,1,0,24,26,307,2,1,2,0,2,2,1,1,1,1,1,250,0,502,9,4
303,1,0,2,307,0,2,1,2,7,2,1,2,1,2,1,2,0,0,68,2,2
304,1,0,12,307,0,1,2,3,7,2,2,1,1,1,1,1,0,0,211,0,4
305,2,0,4,266,0,1,1,2,4,2,1,2,2,2,1,1,0,0,85,4,4
306,1,0,2,307,0,2,1,3,0,2,2,1,1,2,1,1,0,0,246,4,2
307,2,0,2,265,0,1,4,0,0,1,1,1,1,2,1,1,0,0,181,5,1
308,1,0,1,307,0,2,1,0,0,2,2,2,2,2,1,2,0,0,170,4,1
309,1,0,1,307,0,2,1,2,7,1,1,2,2,2,1,1,0,0,16,1,4
310,1,0,5,20,0,2,1,2,7,2,1,3,3,3,1,1,300,0,45,1,1
311,2,0,22,265,0,2,1,0,0,2,2,1,1,1,1,1,0,0,291,7,4
